id,name,lat,long,time,dist,elev
1,Collection Tank Top,18.05902,-66.031725,2019-08-05 17:09:29+00:00,0.002167257205738121,198.996
5,Top of Sand Filters on Pipe from Roughing Filter,18.058963000000002,-66.03179499999999,2019-08-05 17:12:14+00:00,0.0037682386648103115,196.734
6,On Top of Far Back Corner Roughing Filter,18.059285,-66.031648,2019-08-05 17:16:58+00:00,0.0022632355343348448,208.768
7,Start of One Distribution Offset,18.057838,-66.034143,2019-08-05 17:53:53+00:00,0.0036419950480797007,144.224
8,Bridge Start,18.048308,-66.03785,2019-08-05 17:56:56+00:00,0.0016633895330718546,115.43799999999999
9,"Drink Store, Street Intersection",18.043646,-66.038753,2019-08-05 17:59:35+00:00,0.005716535014054887,105.156
10,First House in System,18.029878,-66.029911,2019-08-05 18:04:18+00:00,0.007435644018318434,70.104
11,Start of First Bridge,18.031321,-66.031945,2019-08-05 18:06:59+00:00,0.006767213518022302,76.188
12,Top House of Side Path 1,18.035042999999998,-66.031015,2019-08-05 18:13:05+00:00,0.0013513563166273998,152.4
13,Dead Pipe,18.034958,-66.030468,2019-08-05 18:20:13+00:00,0.0032284855660231274,138.684
14,H,18.034886,-66.02985100000001,2019-08-05 18:20:33+00:00,0.003310272505480338,121.622
15,2H,18.034605,-66.029948,2019-08-05 18:20:45+00:00,0.0049817899974315795,118.872
16,2H,18.034015,-66.029756,2019-08-05 18:21:09+00:00,0.0058738483157387495,123.444
17,H Left,18.033326000000002,-66.02977800000001,2019-08-05 18:21:24+00:00,0.0010620241889471118,118.872
18,H,18.031406,-66.029193,2019-08-05 18:22:22+00:00,0.002366336287866784,71.838
19,H,18.031303,-66.02983,2019-08-05 18:22:47+00:00,0.0031900664942997557,79.248
20,H,18.032335999999997,-66.031536,2019-08-05 18:24:15+00:00,0.001878587537396325,99.06
21,H,18.032601,-66.03179,2019-08-05 18:24:21+00:00,0.0024521551897528733,103.632
22,H,18.03314,-66.032278,2019-08-05 18:24:46+00:00,0.0009826332726835078,107.74000000000001
23,3H and End of Los Rivera,18.033433,-66.03259,2019-08-05 18:25:12+00:00,0.0046265229066654616,104.816
24,2H,18.031183,-66.03052,2019-08-05 18:28:47+00:00,0.006633657066567679,66.026
25,End of Bridge 1,18.031665,-66.031763,2019-08-05 18:29:23+00:00,0.003784938336849928,71.628
26,H,18.032451000000002,-66.03325,2019-08-05 18:30:00+00:00,0.006023948817828255,77.72399999999998
27,H Start of Side Path 2,18.032585,-66.034523,2019-08-05 18:30:37+00:00,0.0016229003982856471,88.008
28,H,18.03231,-66.035111,2019-08-05 18:30:53+00:00,0.002583975041097798,103.632
29,H,18.032053,-66.03563,2019-08-05 18:31:22+00:00,0.0008726022693429393,106.68
30,4H Above,18.032045999999998,-66.035641,2019-08-05 18:31:58+00:00,0.0014507317345834145,106.68
31,Peak of Side Path 2,18.032323,-66.036261,2019-08-05 18:34:37+00:00,0.002156256443945377,134.632
32,End of Side Path 2,18.032551,-66.03421,2019-08-05 18:38:55+00:00,0.002904239993235838,83.82
33,6H,18.034778,-66.035601,2019-08-05 18:39:43+00:00,0.004948488184605207,83.82
34,H,18.036054999999998,-66.034658,2019-08-05 18:40:05+00:00,0.0036823695488277437,84.19600000000001
35,4H,18.036606,-66.033336,2019-08-05 18:40:20+00:00,0.002104779456268853,99.06
36,H,18.036935999999997,-66.033105,2019-08-05 18:40:25+00:00,0.0007255127875729374,102.108
37,6H,18.040035999999997,-66.03387099999999,2019-08-05 18:40:55+00:00,0.0066766887946109205,93.044
38,3H,18.040782999999998,-66.034211,2019-08-05 18:41:03+00:00,0.0013297886681200447,96.012
39,Start of Side Path 3,18.041175,-66.034886,2019-08-05 18:41:19+00:00,0.012477981754652766,97.536
40,5H President's House at End,18.041263,-66.034816,2019-08-05 18:41:41+00:00,0.00505224589655556,97.536
41,"Start of Bridge, Pipe Visible",18.041366,-66.03474,2019-08-05 18:42:27+00:00,0.00043266951748576317,101.23
42,H,18.042095,-66.034211,2019-08-05 18:42:57+00:00,0.004525255207766103,102.108
43,H,18.042583,-66.033816,2019-08-05 18:43:17+00:00,0.0035281886316157673,108.204
44,"5H, Pipes Across River",18.043143,-66.03307,2019-08-05 18:43:49+00:00,0.003257580584892236,115.97399999999999
45,H Left,18.043715,-66.032916,2019-08-05 18:44:31+00:00,0.002584339531895391,123.54599999999999
46,"H Above, Exposed Pipe",18.045073000000002,-66.031676,2019-08-05 18:45:42+00:00,0.005462944026120644,167.78200000000004
47,H,18.044216,-66.029296,2019-08-05 18:48:26+00:00,0.0011711629894058115,182.88
48,H,18.044168,-66.02860799999999,2019-08-05 18:48:58+00:00,0.002776290129615437,204.216
49,H,18.043835,-66.02807,2019-08-05 18:50:21+00:00,0.00011267758667944036,231.648
50,H Outside the System,18.043828,-66.028068,2019-08-05 18:50:48+00:00,0.0009190857231598797,231.648
53,Road Fork,18.044,-66.02938,2019-08-05 18:57:55+00:00,0.0067342384365570405,182.88
54,H,18.043275,-66.030203,2019-08-05 18:58:31+00:00,0.002300485129949484,187.964
55,H,18.0432,-66.030773,2019-08-05 18:58:48+00:00,0.004347467057496239,183.678
56,2H,18.043078,-66.031361,2019-08-05 18:59:03+00:00,0.0024108295017508823,182.578
57,H,18.04245,-66.03237,2019-08-05 18:59:41+00:00,0.0021026572714644997,158.496
58,H,18.041798,-66.03296800000001,2019-08-05 19:00:05+00:00,0.001249043098071633,141.732
59,Fork Loops,18.042742999999998,-66.033475,2019-08-05 19:00:45+00:00,0.0007018283788211936,115.686
60,3H,18.041428,-66.035336,2019-08-05 19:03:11+00:00,0.003044996627677817,100.33
61,6H,18.043931,-66.039603,2019-08-05 19:04:11+00:00,0.003601452071751999,112.976
62,3H,18.045775,-66.040256,2019-08-05 19:04:29+00:00,0.006454548426901719,125.572
63,H,18.047110999999997,-66.040886,2019-08-05 19:04:59+00:00,0.0048872922577534545,141.732
64,H,18.04712,-66.041228,2019-08-05 19:05:03+00:00,0.002701504958183661,143.11599999999999
65,4H,18.048013,-66.04339499999999,2019-08-05 19:05:47+00:00,0.004474459617612993,131.064
66,"End of System, 200 Houses Passed",18.051885000000002,-66.050391,2019-08-05 19:07:28+00:00,0.0090532425052554,138.18
67,Last House in System,18.048261,-66.044218,2019-08-05 19:09:54+00:00,0.0006635990029972463,111.40799999999999
68,3H,18.045333,-66.038166,2019-08-05 19:12:16+00:00,0.005781003889429403,106.366
69,H,18.056561,-66.034913,2019-08-05 19:14:38+00:00,0.003443920891301553,173.736
70,"Multiple House, Indiv Pipe",18.057798000000002,-66.034288,2019-08-05 19:14:59+00:00,0.0012371183326199615,158.286
71,Many Houses,18.056663,-66.032161,2019-08-05 19:16:31+00:00,0.0010971104587685257,163.42199999999997
72,Meter 1,18.04065,-66.03514799999999,2019-08-06 14:30:07+00:00,0.0016893897980290395,105.156
73,Pipe Leak,18.040758,-66.035426,2019-08-06 14:31:13+00:00,0.003349565485708623,111.252
74,Last House on Side Path,18.040836,-66.035498,2019-08-06 14:32:18+00:00,0.005649096703782572,111.252
75,Meter 2,18.040925,-66.03551,2019-08-06 14:33:42+00:00,0.0010551193513203476,111.252
76,Hose,18.041014999999998,-66.03562099999999,2019-08-06 14:36:25+00:00,0.000865104289966787,114.93799999999999
77,Pipe into House,18.040938,-66.03571099999999,2019-08-06 14:37:36+00:00,0.0017699098955110952,114.3
78,Potential Septic Line,18.040778,-66.035501,2019-08-06 14:39:29+00:00,0.004466389339678351,112.776
79,2 Exposed Pipes,18.041395,-66.035368,2019-08-06 14:43:39+00:00,0.0034652395989693266,100.584
80,Exposed Pipe,18.041731,-66.03568100000001,2019-08-06 14:45:49+00:00,0.0028924854252485995,100.584
81,Bottom of 2 Houses,18.041891,-66.03584599999999,2019-08-06 14:47:13+00:00,0.003286443497399355,102.108
82,Meter for Activity Center,18.04218,-66.036048,2019-08-06 14:49:23+00:00,0.0024233219956935922,102.44200000000001
83,Meter for House,18.042278,-66.036266,2019-08-06 14:51:07+00:00,0.003680315418889654,100.584
84,Delete,18.042146,-66.036976,2019-08-06 14:53:18+00:00,0.00018382793082851115,116.238
85,House at End of Path,18.041848,-66.036226,2019-08-06 14:55:24+00:00,0.0007501529389490994,117.348
86,Meter for 2H Only One Occupied,18.041923,-66.035763,2019-08-06 15:05:20+00:00,0.0017266714248340472,101.592
87,"4 Meters, 1-2 Work",18.041451000000002,-66.035333,2019-08-06 15:07:58+00:00,0.0008496981718695187,99.06
88,2 Meters,18.041245999999997,-66.034806,2019-08-06 15:09:49+00:00,0.00355303177882949,97.536
89,Start of Bridge Pipe,18.041398,-66.03469100000001,2019-08-06 15:10:34+00:00,0.0002758595755164267,97.536
90,Pipe Leak,18.041421,-66.03466999999999,2019-08-06 15:11:06+00:00,0.0027163271124895647,97.536
91,Old Fixed Leaks (2),18.041566,-66.03455100000001,2019-08-06 15:12:23+00:00,0.000659387620952367,95.982
92,"Earliest H, Not Part of System",18.043218,-66.030406,2019-08-06 15:24:01+00:00,0.003066718516313042,189.252
93,"Pipe, Not on System",18.043421,-66.029983,2019-08-06 15:24:39+00:00,0.002587405790557007,188.976
94,"H, Unsure if on System",18.044585,-66.02857,2019-08-06 15:26:36+00:00,0.0019347118991652453,198.874
95,"H, Unsure if on System",18.044483,-66.028796,2019-08-06 15:29:16+00:00,0.00263961908203167,188.112
96,Extended Exposed Pipe Along Road,18.045153,-66.03171,2019-08-06 15:32:35+00:00,0.0006916516145458251,176.80600000000004
97,"Pipe Across River
",18.04402,-66.032783,2019-08-06 15:33:53+00:00,0.0007176291335647433,151.554
98,H,18.044081,-66.040173,2019-08-06 15:52:03+00:00,0.004625657059753967,120.396
99,H,18.044110999999997,-66.040828,2019-08-06 15:53:16+00:00,0.002759579591113535,128.016
100,"2 houses, end of path",18.048182999999998,-66.042513,2019-08-06 15:58:13+00:00,0.00406433441328202,120.396
101,"H, end of system?",18.048257999999997,-66.043746,2019-08-06 16:01:38+00:00,0.002578753767497084,132.208
102,Parking Side,18.032576000000002,-66.034183,2019-08-06 16:17:32+00:00,0.005953230002373542,82.296
103,Start of Path,18.032536,-66.034661,2019-08-06 16:18:49+00:00,0.0014288673750923876,94.52
104,"First H, Abandoned?",18.032488,-66.034761,2019-08-06 16:19:09+00:00,0.002013539554337207,96.044
105,"H, 5m to the right",18.03225,-66.035306,2019-08-06 16:20:39+00:00,0.0007993987362925938,106.278
106,H,18.032041,-66.03555,2019-08-06 16:21:53+00:00,0.0016650749072982098,108.204
107,Open Pipe and Septic Tank,18.032063,-66.03568800000001,2019-08-06 16:22:42+00:00,0.0012628058978458884,108.09
108,H,18.032023000000002,-66.035825,2019-08-06 16:23:45+00:00,0.003502602592216649,112.40199999999999
109,Start of Steep Road,18.032078,-66.03596800000001,2019-08-06 16:32:15+00:00,0.0006316898295992788,111.338
110,Exposed Pipe,18.032107999999997,-66.03605300000001,2019-08-06 16:33:00+00:00,0.0008617590434488533,117.348
111,Tap,18.032096,-66.036056,2019-08-06 16:33:21+00:00,0.0012850632278314528,117.348
112,Meter,18.032315,-66.036025,2019-08-06 16:34:12+00:00,0.001635441913817838,117.61
113,"Unoccupied House, Still Part of System",18.032488,-66.035895,2019-08-06 16:36:03+00:00,0.0009175379933031801,118.872
114,Drainage Pipe,18.032528,-66.035895,2019-08-06 16:36:18+00:00,0.000980543625381443,118.872
115,Exposed Hose,18.032564999999998,-66.035893,2019-08-06 16:36:42+00:00,0.0026056322398868357,120.036
116,Drainage Pipe,18.03266,-66.035948,2019-08-06 16:37:21+00:00,0.0012082669376269556,115.774
117,H,18.032626,-66.03598000000001,2019-08-06 16:37:41+00:00,0.0015655395682168756,117.24799999999999
118,Drainage Pipe,18.032645000000002,-66.035995,2019-08-06 16:37:56+00:00,0.00045648489341588614,118.798
119,"H, end of steep section",18.032156,-66.03631999999999,2019-08-06 16:40:03+00:00,0.002698242918796147,129.64600000000002
120,"Meter/Former Leak, Fixed?",18.033641,-66.032658,2019-08-06 16:53:24+00:00,0.0012261524520418587,103.632
121,Buried Meters,18.033593,-66.032686,2019-08-06 16:54:24+00:00,0.002473544260544826,102.108
122,Unused Exposed Pipe,18.033641,-66.032785,2019-08-06 16:55:06+00:00,0.0011023357335214002,100.584
123,Exposed Pipe on Right,18.0337,-66.03285600000001,2019-08-06 16:55:27+00:00,0.0006462689339512088,99.06
124,"H, End of Path",18.033745,-66.033061,2019-08-06 16:56:32+00:00,0.0014910523631086036,98.656
125,3H to the Right,18.03138,-66.029201,2019-08-06 17:03:10+00:00,0.0035519892436486344,77.78800000000001
126,Exposed Pipe,18.034998,-66.030388,2019-08-06 17:08:32+00:00,0.0017108824476072015,135.48000000000002
127,Drainage Pipe,18.031996,-66.029133,2019-08-06 17:13:19+00:00,0.003337758277344257,93.934
128,Road access (parking),18.058471,-66.033236,2019-08-07 14:09:20+00:00,0.0027819867074858253,164.38399999999996
129,Abandoned House (?),18.05914,-66.032953,2019-08-07 14:14:01+00:00,0.003411148535093421,170.32
130,River Access,18.059406,-66.032691,2019-08-07 14:14:59+00:00,0.0031173112923653912,168.67
131,Houses left,18.059568,-66.032801,2019-08-07 14:15:34+00:00,0.003646729083855055,171.694
132,Start river section,18.060636,-66.032213,2019-08-07 14:20:27+00:00,0.0005510351895772291,175.844
133,Cairn,18.0608,-66.032218,2019-08-07 14:22:18+00:00,0.0015783049895707294,173.736
134,Pipes on right,18.0631,-66.03047099999999,2019-08-07 15:01:55+00:00,0.001724993868019262,205.822
135,First visible PVC 4in,18.063665,-66.029951,2019-08-07 15:08:20+00:00,0.0404741565056122,227.076
136,"Old pipe, glvanized",18.063833,-66.029938,2019-08-07 15:10:28+00:00,0.0591697889068191,231.55
137,More pipe,18.063878,-66.029775,2019-08-07 15:11:55+00:00,0.06421151618970741,234.98399999999998
